"haul_log_key","gear_log_key","haul_number","gear_code","was_haul_observed","was_catch","was_incidental_take","weather_description","weather_description_desc","wind_speed","wind_direction","wave_height","reverse_haul","gear_condition","gear_condition_desc","mainline_length","set_speed","bottom_depth_minimum","bottom_depth_maximum","hook_depth_minimum","hook_depth_maximum","total_additional_weight","target_species","target_species_desc","soak_duration","were_floats_used","number_of_floats","were_light_sticks_used","number_light_sticks","were_rattlers_used","number_rattlers","were_surf_lites_used","number_surf_lites","were_sat_buoys_used","number_satellite_buoys","were_radio_beacons_used","number_radio_beacons","were_radar_reflectors_used","number_radar_reflectors","additional_line_weights_used","number_additional_line_weights","number_hooks_set","number_hooks_lost","number_hooks_tended","number_hooks_rebaited","begin_set_date","begin_set_dt","begin_set_time","end_set_date","end_set_dt","end_set_time","begin_haul_date","begin_haul_dt","begin_haul_time","end_haul_date","end_haul_dt","end_haul_time","begin_set_latitude","begin_set_latitude_minutes","begin_set_latitude_hemisphere","end_set_latitude","end_set_latitude_minutes","end_set_latitude_hemisphere","begin_haul_latitude","begin_haul_latitude_minutes","begin_haul_latitude_hemisphere","end_haul_latitude","end_haul_latitude_minutes","end_haul_latitude_hemisphere","begin_set_longitude","begin_set_longitude_minutes","begin_set_longitude_hemisphere","end_set_longitude","end_set_longitude_minutes","end_set_longitude_hemisphere","begin_haul_longitude","begin_haul_longitude_minutes","begin_haul_longitude_hemispher","end_haul_longitude","end_haul_longitude_minutes","end_haul_longitude_hemisphere","begin_set_temperature","end_set_temperature","begin_haul_temperature","end_haul_temperature","set_duration","haul_lost_time","haul_duration","fishing_area","experimental_treatment","comments","is_experiment","created_by_user_id","created_date","modified_by_user_id","modified_date","number_hooks_bent","trip_number","string_number","bait1","bait_kind_1","bait_number_used_1","bait2","bait_kind_2","bait_number_used_2","bait3","bait_kind_3","bait_number_used_3","lat_bh","lon_bh","lat_eh","lon_eh","lat_bs","lon_bs","lat_es","lon_es","date","year","month","dolphin_fish_mahi_mahi","shark_dusky","shark_thresher_bigeye","sharks","swordfish","tuna_yellowfin","marlin_white","sailfish","shark_blacktip","shark_night","wahoo","shark_hammerhead_scalloped","shark_mako_shortfin","barracudas","puffers","billfish","bonito_atlantic","escolar","marlin_blue","shark_bignose","shark_tiger","tuna_blackfin","oilfish","rays_skates","shark_blue","shark_oceanic_whitetip","tuna_albacore","tuna_bigeye","tuna_bluefin","lancetfish","tunas","mackerel_snake","shark_bull","shark_mako_longfin","pomfrets","sea_turtle_leatherback","shark_silky","shark_thresher","skipjack","sea_turtle_loggerhead","remora","pilot_whale","shark_hammerhead_smooth","shark_hammerhead","shearwater_great","unknown","stingray_pelagic","ray_mobulid","sunfishes","shark_porbeagle","goosefish","sharks_mako","spearfish_roundscale","shark_sandbar","sunfish_sharptail","shark_requiem","shark_cookiecutter","white_marlin_roundscale_spear","dolphin_bottlenose","shark_spinner","amberjacks","mackerel_king","uncoded_animal","sunfish_ocean","cobia","shark_hammerhead_great","dolphin_pantropic_spotted","little_tunny","cigarfish_bigeye","jacks","shark_dogfish","misc","cutlass_fish","birds","squids","dolphin_rissos","dealfish","spearfish_longbill","shark_caribbean_reef","bluefish","turtles","spearfishes","marine_mammal","dolphins","shark_finetooth","runner_rainbow","shark_atlantic_sharpnose","shark_thresher_common","grouper_snowy","grouper_yellowedge","mackerel_chub","tripletail","shark_dogfish_smooth","cutlassfish_atlantic","red_snapper","ridley_olive","shark_crocodile","shark_dogfish_spiny","whale_pilot_shortfin","pilotfish","shark_whale","shark_basking","shark_mackerel","opah","shark_blacknose","shark_sand_tiger","gull_herring","gull_laughing","whale_minke","pelican_brown","dolphin_common","louvar","jack_bluerunner","whale_sperm","gannet_northern","dolphin_atlantic_spotted","snapper_blackfin","dolphin_spinner_shortbeak","sea_turtle_hawksbill","tilefish_golden","shark_nurse","shark_sharpnose_sevengill","tilefish_gray_blueline","whale_false_killer","northern_fulmar","banded_rudderfish","whale_beaked","shearwater_corys","sea_turtle_green","tarpon","triggerfish","halibut_atlantic","whale_pygmy_sperm","grenadiers","dogfish_velvet","sea_turtle_kemp_s_ridley","harbor_porpoise","shark_gulper_little","mackerel_atlantic","rough_toothed_dolphin","eel_king_snake","shearwaters","mackerel_frigate","drum_red","great_black_backed_gull","grouper_warsaw","whale_pilot_longfin","eel_conger","jaeger_parasitic_jaeger","whales","gulls","whale_killer","hakes","sea_bass_black","shark_great_white","ray_chilean_devil","whale_dwarf_pygmy_sperm","shark_cow_sharks","ray_manta","rosefish_black_bellied","lobsters","sea_anemones","sea_stars","ray_mobula","sea_cucumber","shark_gulper","jack_crevalle","ray_giant_devil","ray_spotted_eagle","crab","na","dolphin_blackfish","mlotst","so","thetao","uo","vo","zos","thetao_150m","thetao_500m","sst_anomaly","ssh_anomaly","chl","front_z","tke","eke","dfrom_shore","depth","moon_angle","begin_set_date_2","end_set_date_2","sunrise","sunset","day_hours","night_hours","intersects_canyon","hooks_rule","x","y"
280415,63363,5,"675",1,1,0,"01","CLEAR","7","090",2,1,"61","NO GEAR DAMAGE WITH LESS THAN OR EQUAL TO 10% HOOKS LOST",29.4,6,1000,1400,40,50,10,"YFT","TUNA YELLOWFIN",8.5,1,110,0,0,0,NA,0,NA,0,NA,1,5,1,7,1,1,460,14,0,0,2013-08-04 05:30:00,2013-08-04,"0530",2013-08-04 10:22:00,2013-08-04,"1022",2013-08-04 18:52:00,2013-08-04,"1852",2013-08-05 06:12:00,2013-08-05,"0612",27,8,"N",26,43,"N",26,42,"N",27,3,"N",87,38,"W",87,50,"W",87,45,"W",87,43,"W",87.6,88.3,89.8,87,4.9,0,11.3,"GOM",NA,NA,"N",1,2016-08-01 05:43:19,1,2017-01-24 06:14:35,2,"Y06003",1,"MACKEREL","01",460,NA,NA,NA,NA,NA,NA,26.7,-87.75,27.05,-87.7166666666667,27.1333333333333,-87.6333333333333,26.7166666666667,-87.8333333333333,2013-08-04,2013,8,1,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45403707027435,0.0507007353007793,21.0215797424316,-4.37871967733372e-05,0.000122009783808608,-6.7680528445635e-05,21.012134552002,21.0052700042725,-8.94473075866699,-0.0940017476677895,0.411962658166885,0.0379415787756443,8.60980087225016e-09,0.0160911474376917,270890.8125,-2818.6875,0.076490058978773,2013-08-04 05:30:00,2013-08-04 10:22:00,2013-08-04 11:18:21,2013-08-05 00:38:11,0,8.5,0,1,825532.368004771,462605.818241398
280416,63363,6,"675",1,1,0,"01","CLEAR","10","270",3,1,"61","NO GEAR DAMAGE WITH LESS THAN OR EQUAL TO 10% HOOKS LOST",19.5,6.1,1400,1500,40,50,10,"YFT","TUNA YELLOWFIN",8.1,1,130,0,0,0,NA,0,NA,0,NA,1,5,1,7,1,1,420,17,0,0,2013-08-05 09:01:00,2013-08-05,"0901",2013-08-05 12:12:00,2013-08-05,"1212",2013-08-05 20:18:00,2013-08-05,"2018",2013-08-06 01:42:00,2013-08-06,"0142",27,7,"N",27,4,"N",27,4,"N",27,6,"N",87,47,"W",87,42,"W",87,44,"W",87,48,"W",88.1,88.2,87.7,87.6,3.2,0,5.4,"GOM",NA,"LINE SET IN HORSE SHOE PATTERN","N",1,2016-08-01 05:43:19,1,2017-01-24 06:14:35,4,"Y06003",1,"MACKEREL","01",420,NA,NA,NA,NA,NA,NA,27.0666666666667,-87.7333333333333,27.1,-87.8,27.1166666666667,-87.7833333333333,27.0666666666667,-87.7,2013-08-05,2013,8,2,0,0,0,0,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45403707027435,0.0498495921492577,21.0215454101562,-0.000127637962577865,5.20481262356043e-05,-6.32073933957145e-05,21.0121555328369,21.0053329467773,-8.92772197723389,-0.0599653385579586,0.260047286748886,0.0256929285824299,9.48593914529283e-09,0.0252063702791929,248707.390625,-2788.3349609375,0.0336393341634597,2013-08-05 09:01:00,2013-08-05 12:12:00,2013-08-05 11:18:40,2013-08-06 00:37:52,0.888888888888889,7.21111111111111,0,1,821667.899045195,482994.102786625
280418,63363,8,"675",1,1,0,"01","CLEAR","10","180",2,1,"61","NO GEAR DAMAGE WITH LESS THAN OR EQUAL TO 10% HOOKS LOST",31.1,6.1,1200,1400,40,50,10,"YFT","TUNA YELLOWFIN",7.9,1,124,0,0,0,NA,0,NA,0,NA,1,5,1,7,1,1,400,4,0,0,2013-08-07 06:10:00,2013-08-07,"0610",2013-08-07 11:17:00,2013-08-07,"1117",2013-08-07 19:11:00,2013-08-07,"1911",2013-08-08 02:40:00,2013-08-08,"0240",26,57,"N",27,12,"N",27,12,"N",27,0,"N",87,23,"W",87,53,"W",87,54,"W",87,32,"W",87.1,87.8,87.6,86.5,5.1,0,7.5,"GOM",NA,NA,"N",1,2016-08-01 05:43:19,1,2017-01-24 06:14:35,1,"Y06003",1,"MACKEREL","01",400,NA,NA,NA,NA,NA,NA,27.2,-87.9,27,-87.5333333333333,26.95,-87.3833333333333,27.2,-87.8833333333333,2013-08-07,2013,8,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45403707027435,0.0504487119615078,21.0217094421387,-0.000106465733551886,2.11321312235668e-05,-5.96785539528355e-05,21.0119457244873,21.0053482055664,-8.95210552215576,-0.0528600141406059,0.388446480035782,0.035769909620285,6.5668430693222e-09,0.0364352129399776,255026.578125,-2818.31860351562,9.98283404031741e-05,2013-08-07 06:10:00,2013-08-07 11:17:00,2013-08-07 11:19:24,2013-08-08 00:36:04,0,7.9,0,1,829536.482143947,483681.8642964
280419,63363,9,"675",1,1,0,"01","CLEAR","10","090",3,1,"61","NO GEAR DAMAGE WITH LESS THAN OR EQUAL TO 10% HOOKS LOST",33.5,6.2,900,1200,40,50,10,"YFT","TUNA YELLOWFIN",7.2,1,133,0,0,0,NA,0,NA,0,NA,1,5,1,7,1,1,425,3,0,0,2013-08-08 06:31:00,2013-08-08,"0631",2013-08-08 11:57:00,2013-08-08,"1157",2013-08-08 19:09:00,2013-08-08,"1909",2013-08-09 02:20:00,2013-08-09,"0220",26,57,"N",26,56,"N",26,55,"N",26,57,"N",87,11,"W",86,38,"W",86,44,"W",87,11,"W",87.4,87.9,87.1,87.8,5.4,0,7.2,"GOM",NA,NA,"N",1,2016-08-01 05:43:19,1,2017-01-24 06:14:35,0,"Y06003",1,"MACKEREL","01",425,NA,NA,NA,NA,NA,NA,26.9166666666667,-86.7333333333333,26.95,-87.1833333333333,26.95,-87.1833333333333,26.9333333333333,-86.6333333333333,2013-08-08,2013,8,1,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52807521820068,0.0525816641747952,21.021671295166,-0.000111102541268338,9.84032449196093e-05,-5.00828609801829e-05,21.0108547210693,21.0049076080322,-8.99594497680664,0.0197137612849474,0.13618192076683,0.0184323750436306,1.09776596701749e-08,0.0960937216877937,317070.21875,-2984.26586914062,0.0118146817657666,2013-08-08 06:31:00,2013-08-08 11:57:00,2013-08-08 11:17:11,2013-08-09 00:32:07,0.663611111111111,6.53638888888889,0,1,904797.522676177,474000.237828996
280460,63371,1,"675",1,1,0,"01","CLEAR","10","090",3,1,"61","NO GEAR DAMAGE WITH LESS THAN OR EQUAL TO 10% HOOKS LOST",36,7.2,700,800,22,22,0,"SWO","SWORDFISH",8.3,1,213,1,884,0,NA,1,1,0,NA,1,9,0,NA,0,NA,884,31,0,0,2014-04-09 18:00:00,2014-04-09,"1800",2014-04-09 22:59:00,2014-04-09,"2259",2014-04-10 07:16:00,2014-04-10,"0716",2014-04-10 13:51:00,2014-04-10,"1351",25,30,"N",25,21,"N",25,0,"N",24,48,"N",84,40,"W",85,14,"W",85,6,"W",84,39,"W",74.7,80.8,80.5,78.2,5,0,6.6,"GOM",NA,"SURFACE LIGHT: ATTCHED TO THE LAST RADIO BEACON SET, FOR ALL SETS","N",1,2016-08-01 05:43:20,1,2017-01-24 06:14:35,8,"Y06010",1,"SQUID","03",884,NA,NA,NA,NA,NA,NA,25,-85.1,24.8,-84.65,25.5,-84.6666666666667,25.35,-85.2333333333333,2014-04-10,2014,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.03311729431152,0.0538879856467247,21.0179138183594,-7.6679527410306e-05,-0.000615265860687941,-4.74216685688589e-05,21.0137195587158,21.0057125091553,-4.9759464263916,0.0294185876846313,0.113632835447788,0.32378500699997,2.03784196628476e-07,0.315895408391953,286298.21875,-3363.18481445312,0.741223553770589,2014-04-09 18:00:00,2014-04-09 22:59:00,2014-04-09 11:24:05,2014-04-10 00:00:28,4.98333333333333,3.31666666666667,0,1,1128319.47413254,301803.201344966
280461,63371,2,"675",1,1,0,"01","CLEAR","5","180",4,1,"66","PARTED OFF. GEAR RECOVERED",35.7,7,1800,1800,22,22,0,"SWO","SWORDFISH",8.1,1,217,1,896,0,NA,1,1,0,NA,1,9,0,NA,0,NA,896,18,0,0,2014-04-11 17:58:00,2014-04-11,"1758",2014-04-11 23:01:00,2014-04-11,"2301",2014-04-12 07:04:00,2014-04-12,"0704",2014-04-12 15:00:00,2014-04-12,"1500",25,41,"N",25,56,"N",26,15,"N",25,57,"N",87,0,"W",87,36,"W",87,31,"W",87,0,"W",80.3,81.5,81.5,80.6,5.1,1.2,7.9,"GOM",NA,"PART OFF: 0832-0945","N",1,2016-08-01 05:43:20,1,2017-01-24 06:14:35,6,"Y06010",1,"SQUID","03",896,NA,NA,NA,NA,NA,NA,26.25,-87.5166666666667,25.95,-87,25.6833333333333,-87,25.9333333333333,-87.6,2014-04-12,2014,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.07698059082031,0.0536156259477139,21.0195293426514,0.000242065521888435,0.000667512940708548,6.98674339218996e-05,21.0171642303467,21.0072174072266,-4.7096209526062,-0.117974542081356,0.0811105519533157,0.103283822536469,2.54249783893101e-07,0.261425375938416,382436.1875,-3169.3349609375,0.888907582624177,2014-04-11 17:58:00,2014-04-11 23:01:00,2014-04-11 11:30:58,2014-04-12 00:11:26,5.05,3.05,0,1,880290.750359661,363120.723405674
280462,63371,3,"675",1,1,1,"01","CLEAR","10","090",3,1,"61","NO GEAR DAMAGE WITH LESS THAN OR EQUAL TO 10% HOOKS LOST",33.4,7.1,1700,1700,22,22,0,"SWO","SWORDFISH",9,1,217,1,896,0,NA,1,1,0,NA,1,9,0,NA,0,NA,896,22,0,0,2014-04-12 17:56:00,2014-04-12,"1756",2014-04-12 22:37:00,2014-04-12,"2237",2014-04-13 07:36:00,2014-04-13,"0736",2014-04-13 14:14:00,2014-04-13,"1414",25,45,"N",25,52,"N",26,15,"N",26,1,"N",87,3,"W",87,35,"W",87,26,"W",86,56,"W",80.4,82.1,81.9,80.5,4.7,0,6.6,"GOM",NA,NA,"N",1,2016-08-01 05:43:20,1,2017-01-24 06:14:35,4,"Y06010",1,"SQUID","03",896,NA,NA,NA,NA,NA,NA,26.25,-87.4333333333333,26.0166666666667,-86.9333333333333,25.75,-87.05,25.8666666666667,-87.5833333333333,2014-04-13,2014,4,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.63385391235352,0.053616464138031,21.0194549560547,0.000198262147023343,0.000522869580890983,9.35958014451899e-05,21.0174655914307,21.0078258514404,-4.7470555305481,-0.135199457406998,0.084185928106308,0.139222845435143,1.57880009510336e-07,0.149590596556664,388292.90625,-3187.00317382812,0.943510944468231,2014-04-12 17:56:00,2014-04-12 22:37:00,2014-04-12 11:29:51,2014-04-13 00:11:48,4.68333333333333,4.31666666666667,0,1,883058.339108407,365213.174536505
280463,63371,4,"675",1,1,0,"01","CLEAR","5","180",3,1,"61","NO GEAR DAMAGE WITH LESS THAN OR EQUAL TO 10% HOOKS LOST",31.7,6.6,1700,1700,22,22,0,"SWO","SWORDFISH",8.6,1,217,1,896,0,NA,1,1,0,NA,1,9,0,NA,0,NA,896,18,0,0,2014-04-13 18:06:00,2014-04-13,"1806",2014-04-13 22:52:00,2014-04-13,"2252",2014-04-14 07:28:00,2014-04-14,"0728",2014-04-14 13:51:00,2014-04-14,"1351",26,10,"N",26,38,"N",26,52,"N",28,23,"N",87,4,"W",87,24,"W",87,1,"W",86,42,"W",81.7,81.9,81.6,82,4.8,0,6.4,"GOM",NA,NA,"N",1,2016-08-01 05:43:20,1,2017-01-24 06:14:35,1,"Y06010",1,"SQUID","03",896,NA,NA,NA,NA,NA,NA,26.8666666666667,-87.0166666666667,28.3833333333333,-86.7,26.1666666666667,-87.0666666666667,26.6333333333333,-87.4,2014-04-14,2014,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.98494136333466,0.0538955666124821,21.0192394256592,0.00045456868247129,0.000438784918515012,-2.14970023080241e-05,21.0138149261475,21.0060977935791,-4.06108379364014,0.0869189202785492,0.10885015130043,0.312740415334702,2.02643192892538e-07,0.425929725170135,302987.71875,-2961.72192382812,0.981105848450503,2014-04-13 18:06:00,2014-04-13 22:52:00,2014-04-13 11:27:10,2014-04-14 00:12:20,4.76666666666667,3.83333333333333,0,1,892827.215145537,481157.371061022
280464,63371,5,"675",1,1,0,"03","CONTINUOUS LAYER OF CLOUDS","10","180",5,1,"61","NO GEAR DAMAGE WITH LESS THAN OR EQUAL TO 10% HOOKS LOST",34.7,6.8,400,1000,22,22,0,"SWO","SWORDFISH",8.2,1,217,1,896,0,NA,1,1,0,NA,1,9,0,NA,0,NA,896,23,0,0,2014-04-15 18:14:00,2014-04-15,"1814",2014-04-15 23:20:00,2014-04-15,"2320",2014-04-16 07:31:00,2014-04-16,"0731",2014-04-16 14:25:00,2014-04-16,"1425",24,31,"N",24,27,"N",24,28,"N",24,38,"N",83,37,"W",84,12,"W",84,16,"W",83,53,"W",78.9,78,76.8,77.5,5.1,0,6.9,"GOM",NA,NA,"N",1,2016-08-01 05:43:20,1,2017-01-24 06:14:35,2,"Y06010",1,"SQUID","03",896,NA,NA,NA,NA,NA,NA,24.4666666666667,-84.2666666666667,24.6333333333333,-83.8833333333333,24.5166666666667,-83.6166666666667,24.45,-84.2,2014-04-16,2014,4,0,0,0,0,14,0,0,2,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14790153503418,0.0539764873683453,21.0183887481689,-0.000190627804840915,-1.92125062312698e-05,-6.62369711790234e-05,21.01318359375,21.0055809020996,-4.8849606513977,0.0818170607089996,0.0982335656881332,0.0322934612631798,1.85424102738807e-08,0.16057787835598,187055.546875,-1956.05126953125,0.994681794277604,2014-04-15 18:14:00,2014-04-15 23:20:00,2014-04-15 11:15:11,2014-04-15 23:58:55,5.1,3.1,0,1,1230450.3016235,243111.703530754
280465,63371,6,"675",1,1,0,"01","CLEAR","10","225",4,1,"61","NO GEAR DAMAGE WITH LESS THAN OR EQUAL TO 10% HOOKS LOST",35.4,6.8,400,1000,22,22,0,"SWO","SWORDFISH",8.5,1,217,1,896,0,NA,1,1,0,NA,1,9,0,NA,0,NA,896,27,0,0,2014-04-16 17:20:00,2014-04-16,"1720",2014-04-16 22:34:00,2014-04-16,"2234",2014-04-17 07:04:00,2014-04-17,"0704",2014-04-17 14:01:00,2014-04-17,"1401",24,27,"N",24,21,"N",24,21,"N",24,33,"N",83,47,"W",84,17,"W",84,20,"W",84,0,"W",78.4,76.4,76.3,78.1,5.2,0,7,"GOM",NA,NA,"N",1,2016-08-01 05:43:20,1,2017-01-24 06:14:35,7,"Y06010",1,"SQUID","03",896,NA,NA,NA,NA,NA,NA,24.35,-84.3333333333333,24.55,-84,24.45,-83.7833333333333,24.35,-84.2833333333333,2014-04-17,2014,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.51608467102051,0.0539553165435791,21.0183620452881,-0.000175815250258893,2.47721109190024e-05,-6.45322506898083e-05,21.0136432647705,21.0051975250244,-4.90365076065063,0.0505041964352131,0.0949644595384598,0.0243263244628906,1.58387400972515e-08,0.171202600002289,185088.34375,-2674.1357421875,0.967409758808491,2014-04-16 17:20:00,2014-04-16 22:34:00,2014-04-16 11:14:47,2014-04-16 23:59:43,5.23333333333333,3.26666666666667,0,1,1220658.76967165,231779.962054206
